1000;389000
1001;35700
1002;5980
1003;5740
1004;4960
1005;5220
1006;5320
1007;4810
1008;5330
1009;4950
1010;15700
1011;5390
1012;6830
1013;6530
1014;7030
1015;6510
1016;6230
1017;4900
1018;5560
1019;3990
1020;9890
1021;4140
1022;3700
1023;3440
1024;150000
1025;5300
1026;4000
1027;3950
1028;4040
1029;3950
1030;11700
1031;7420
1032;3630
1033;3620
1034;3630
1035;4250
1036;3080
1037;3580
1038;4120
1039;2860
1040;9290
1041;3600
1042;4600
1043;3290
1044;3850
1045;4690
1046;3760
1047;4240
1048;3380
1049;4500
1050;11600
1051;3790
1052;3850
1053;3950
1054;10400
1055;4200
1056;4100
1057;4670
1058;4180
1059;3450
1060;8170
1061;4370
1062;3930
1063;4150
1064;10400
1065;4630
1066;41100
1067;4970
1068;4770
1069;4290
1070;10800
1071;5820
1072;5100
1073;8390
1074;3520
1075;5470
1076;5000
1077;4450
1078;4150
1079;4310
1080;16300
1081;4060
1082;3440
1083;3770
1084;4700
1085;5760
1086;15400
1087;5800
1088;5120
1089;4060
1090;9160
1091;4880
1092;4300
1093;4410
1094;5150
1095;7800
1096;7100
1097;3790
1098;4700
1099;8750
1100;49800
1101;4950
1102;4480
1103;3180
1104;3800
1105;3340
1106;4290
1107;3560
1108;3700
1109;3500
1110;6640
1111;6540
1112;3460
1113;4070
1114;3790
1115;4030
1116;3430
1117;3580
1118;5870
1119;4130
1120;9140
1121;5500
1122;4780
1123;4770
1124;4430
1125;5680
1126;4210
1127;6610
1128;6340
1129;5780
1130;8180
1131;4600
1132;3510
1133;3660
1134;3570
1135;5550
1136;4500
1137;4900
1138;4940
1139;5160
1140;9020
1141;4580
1142;4870
1143;4800
1144;4110
1145;4410
1146;4190
1147;6960
1148;5130
1149;3970
1150;10200
1151;3730
1152;6950
1153;5790
1154;6100
1155;5260
1156;5860
1157;4500
1158;4560
1159;4460
1160;9150
1161;3920
1162;4610
1163;5200
1164;7000
1165;4780
1166;5400
1167;4970
1168;4320
1169;4820
1170;11100
1171;5180
1172;4850
1173;6600
1174;4800
1175;5090
1176;5070
1177;5090
1178;4190
1179;5370
1180;10200
1181;4490
1182;4970
1183;5120
1184;5350
1185;7920
1186;5090
1187;7360
1188;4860
1189;6440
1190;9920
1191;9660
1192;6380
1193;5490
1194;5700
1195;4580
1196;5140
1197;4110
1198;5780
1199;6500
1200;47400
1201;6170
1202;6370
1203;6430
1204;12700
1205;5550
1206;8150
1207;6570
1208;4990
1209;6600
1210;10800
1211;5390
1212;7110
1213;5370
1214;5560
1215;15400
1216;6380
1217;5340
1218;5460
1219;6680
1220;16000
1221;7380
1222;5120
1223;5140
1224;5710
1225;6850
1226;6400
1227;7280
1228;5990
1229;6850
1230;13200
1231;7050
1232;5530
1233;5110
1234;6700
1235;6340
1236;6390
1237;5590
1238;5750
1239;5060
1240;10600
1241;7140
1242;5770
1243;4590
1244;5770
1245;5900
1246;5720
1247;5730
1248;7340
1249;5110
1250;15700
1251;5350
1252;7360
1253;6750
1254;5790
1255;5930
1256;5230
1257;5310
1258;8210
1259;5340
1260;9690
1261;5770
1262;5920
1263;6410
1264;6690
1265;7400
1266;6440
1267;5640
1268;5980
1269;7620
1270;7770
1271;8730
1272;7240
1273;6320
1274;7470
1275;7130
